Trap Date,Genus,Specific Epithet,Gender,IDd,Count,Trap Region,Include,Comparison Group,Latitude,Longitude,Location
"May 19, 2015",Male,UnID,Male,UnID,1,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jun 21, 1994",Aedes,dorsalis,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
"Aug 16, 2016",Aedes,dorsalis,Female,,19,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Sep 20, 2016",Aedes,vexans,Female,,3,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"May 28, 2013",Aedes,dorsalis,Female,,20,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Aug 21, 2018",Aedes,dorsalis,Female,,1,Rural-West,,Outer,53.55902000,-114.00119000,POINT (-114.00119 53.55902)
"Jul 26, 2016",Male,UnID,Male,UnID,26,Outer Community-North,,Outer,53.77447650,-113.58571530,POINT (-113.5857153 53.7744765)
"Aug 05, 2014",Aedes,vexans,Female,,104,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Sep 20, 2016",Culiseta,inornata,Female,,21,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Jul 30, 2019",Aedes,dorsalis,Female,,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
"Jul 11, 2017",Aedes,dorsalis,Female,,2,Rural-West,,Outer,53.56297330,-113.78735300,POINT (-113.787353 53.5629733)
"Jul 03, 2018",Aedes,vexans,Female,,26,Rural-South West,,Peripheral,53.52858720,-113.73807010,POINT (-113.7380701 53.5285872)
"Sep 27, 2016",Aedes,vexans,Female,,4,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.2213587 53.6067218)
"Jul 09, 1996",Aedes,dorsalis,Female,,4,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
